### Per-class Metrics
ATTACK TYPE,precision,recall,f1_score,support,FPR,FNR
Benign,0.9999037995014305,0.9512101956446485,0.974949378781298,251323,8.106126822116334e-05,0.048789804355351477
backdoor,0.4631432545201669,0.9877641824249166,0.6306071724464434,2697,0.005800564277690744,0.012235817575083427
ddos,0.0,0.0,0.0,18,3.738031291059937e-05,1.0
dos,0.12903225806451613,0.9230769230769231,0.22641509433962262,13,0.0001513888525472576,0.07692307692307693
injection,0.17934317231652647,0.2565109326032924,0.21109579498125008,27761,0.06423246297048284,0.7434890673967076
mitm,0.22077922077922077,0.5964912280701754,0.3222748815165877,57,0.00022429822692251618,0.40350877192982454
password,0.36545209176788124,0.7201063672625203,0.484846073506739,33845,0.0844310015282893,0.2798936327374797
ransomware,0.3711262282690854,0.9859437751004017,0.5392641405820978,498,0.001556417321877204,0.014056224899598393
scanning,0.09411681013018425,0.362168081029291,0.14940711462450593,3653,0.023962845733770412,0.637831918970709
xss,0.8954394101557854,0.6998104036357891,0.7856296984146028,215194,0.05497631813421287,0.3001895963642109

### Global Metrics
model_name,test_weighted_f1,test_accuracy,precision,recall,support,global_FPR,global_FNR,Time Consumption (s),CPU_Peak_MB,GPU_Peak_MB,cpu_mem_used,gpu_mem_used
e_graphsage_mean_no_sampling,82.02763510317335,0.7955627323341912,0.865570846663992,0.7955627323341912,535059,0.022715251962867646,0.20443726766580883,1478.6752717495,17621.46875,6255.875,10301.28125,4424.0
