### Per-class Metrics
ATTACK TYPE,precision,recall,f1_score,support,FPR,FNR
Benign,0.9671764779324552,0.9246984955614886,0.9454606108932321,251323,0.02779696619392675,0.0753015044385114
backdoor,0.5505780346820809,0.9888765294771968,0.7073332449277284,2697,0.004089322678928999,0.011123470522803115
ddos,0.0,0.0,0.0,18,9.345078227649843e-06,1.0
dos,0.09375,0.9230769230769231,0.1702127659574468,13,0.00021680378883310968,0.07692307692307693
injection,0.1333846022387422,0.16868988869277043,0.148974073484969,27761,0.05997658181187389,0.8313101113072295
mitm,0.2483221476510067,0.6491228070175439,0.3592233009708738,57,0.00020934501179434843,0.3508771929824561
password,0.32942057007422193,0.7802629635101197,0.46325760898166835,33845,0.10725358828763762,0.21973703648988033
ransomware,0.16220680541790553,0.9859437751004017,0.27858156028368797,498,0.004744079721491093,0.014056224899598393
scanning,0.018444233075555188,0.3662742950999179,0.03511995380334926,3653,0.13399359435158806,0.6337257049000822
xss,0.8701874418039756,0.3995371618167793,0.5476340613634482,215194,0.04009816641395589,0.6004628381832208

### Global Metrics
model_name,test_weighted_f1,test_accuracy,precision,recall,support,global_FPR,global_FNR,Time Consumption (s),CPU_Peak_MB,GPU_Peak_MB,cpu_mem_used,gpu_mem_used
e_graphsage_mean,70.54840258859569,0.6616317079051095,0.8351104780900269,0.6616317079051095,535059,0.037596476899432275,0.33836829209489044,1299.9511525631,17533.84765625,6257.875,9587.00390625,4568.0
