### Per-class Metrics
ATTACK TYPE,precision,recall,f1_score,support,FPR,FNR
Benign,0.9999958967793822,0.9697083036570469,0.9846192382745429,251323,3.524402966137536e-06,0.030291696342953093
backdoor,0.4758165268606104,0.9885057471264368,0.6424096385542168,2697,0.005516922695459105,0.011494252873563218
ddos,0.2,0.16666666666666666,0.1818181818181818,18,2.2428187746359623e-05,0.8333333333333334
dos,0.16666666666666666,0.9230769230769231,0.2823529411764706,13,0.00011213989077574638,0.07692307692307693
injection,0.2272656334409777,0.6819278844422031,0.34091482081757607,27761,0.12688400111965747,0.3180721155577969
mitm,0.4666666666666667,0.49122807017543857,0.4786324786324786,57,5.981286051267098e-05,0.5087719298245614
password,0.45604395604395603,0.22316442605997933,0.2996805999166782,33845,0.017974358258149213,0.7768355739400207
ransomware,0.4969512195121951,0.9819277108433735,0.659919028340081,498,0.0009259934787610769,0.018072289156626505
scanning,0.09774239170289666,0.5108130303859841,0.16408723179739712,3653,0.03241401113273091,0.48918696961401587
xss,0.8985826562518864,0.6917525581568259,0.7817180246602391,215194,0.052525284104231476,0.30824744184317404

### Global Metrics
model_name,test_weighted_f1,test_accuracy,precision,recall,support,global_FPR,global_FNR,Time Consumption (s),CPU_Peak_MB,GPU_Peak_MB,cpu_mem_used,gpu_mem_used
e_graphsage_sum,81.85642520924704,0.7926583797300858,0.8753346310254256,0.7926583797300858,535059,0.02303795780776824,0.20734162026991415,1328.3953609467,17611.87890625,6257.875,9617.75390625,4568.0
