### Per-class Metrics
ATTACK TYPE,precision,recall,f1_score,support,FPR,FNR
Benign,0.9999038847285371,0.9517394175158906,0.9752273273799578,251406,8.108498764335296e-05,0.04826058248410937
backdoor,0.48606587043069127,0.9896831245394252,0.6519417475728155,2714,0.005334886211009778,0.010316875460574797
ddos,0.2857142857142857,0.1,0.14814814814814817,20,9.345113159975254e-06,0.9
dos,0.07647058823529412,0.9285714285714286,0.14130434782608697,14,0.00029343326262277006,0.07142857142857142
injection,0.1669243393668387,0.2527187612531509,0.20105138011545126,27770,0.06904348408895127,0.7472812387468492
mitm,0.2682926829268293,0.6346153846153846,0.37714285714285717,52,0.00016822209802862392,0.36538461538461536
password,0.35156004681567754,0.7239940037035948,0.4732953508257833,34021,0.09067376127160016,0.27600599629640515
ransomware,0.4279624893435635,0.984313725490196,0.5965537730243613,510,0.0012552637831143637,0.01568627450980392
scanning,0.05835117773019272,0.09030654515327258,0.07089430894308943,3621,0.00992966253824529,0.9096934548467275
xss,0.887679401362135,0.7064685875932276,0.7867746498577669,214931,0.06001661835265894,0.2935314124067724

### Global Metrics
model_name,test_weighted_f1,test_accuracy,precision,recall,support,global_FPR,global_FNR,Time Consumption (s),CPU_Peak_MB,GPU_Peak_MB,cpu_mem_used,gpu_mem_used
e_gat_no_sampling,81.91999666660261,0.7967850274455714,0.8607219765765978,0.7967850274455714,535059,0.02257944139493651,0.20321497255442858,1841.9916746616,17622.375,9819.875,9633.4296875,8130.0
