### Per-class Metrics
ATTACK TYPE,precision,recall,f1_score,support,FPR,FNR
Benign,0.9999665986113373,0.9526542723721788,0.9757372427518298,251406,2.8203473962905382e-05,0.04734572762782113
backdoor,0.4491468718634995,0.9893146647015475,0.6178094799815922,2714,0.006185838131287041,0.010685335298452468
ddos,0.013157894736842105,0.1,0.023255813953488372,20,0.00028035339479925763,0.9
dos,0.0759493670886076,0.8571428571428571,0.13953488372093026,14,0.00027287424422244857,0.14285714285714285
injection,0.17829809313789077,0.296975153042852,0.22281962606722144,27770,0.0749217901432911,0.703024846957148
mitm,0.21875,0.6730769230769231,0.330188679245283,52,0.00023364180281753322,0.3269230769230769
password,0.3066692000760023,0.23720643132183064,0.26750198886237075,34021,0.03641440369792311,0.7627935686781694
ransomware,0.22456297624383684,0.9823529411764705,0.36556001459321413,510,0.003236373092083233,0.01764705882352941
scanning,0.056518946692357096,0.07290803645401822,0.06367583212735166,3621,0.00829259480880178,0.9270919635459818
xss,0.8356859022368088,0.8150708832136825,0.8252496702468439,214931,0.10759758596561375,0.18492911678631746

### Global Metrics
model_name,test_weighted_f1,test_accuracy,precision,recall,support,global_FPR,global_FNR,Time Consumption (s),CPU_Peak_MB,GPU_Peak_MB,cpu_mem_used,gpu_mem_used
e_gat_sampling,82.24880797188386,0.8120655852905941,0.8371932974298072,0.8120655852905941,535059,0.02088160163437843,0.1879344147094059,1441.3522381783,17600.31640625,6263.875,9586.43359375,4574.0
