### Per-class Metrics
ATTACK TYPE,precision,recall,f1_score,support,FPR,FNR
Benign,0.9999331209924844,0.9515365583955833,0.9751347208974328,251406,5.6406947925810764e-05,0.04846344160441676
backdoor,0.46115503609487796,0.9885777450257922,0.6289263947491796,2714,0.005889038123773117,0.011422254974207811
ddos,0.011111111111111112,0.05,0.01818181818181818,20,0.00016634301424755952,0.95
dos,0.18571428571428572,0.9285714285714286,0.30952380952380953,14,0.00010653309534712034,0.07142857142857142
injection,0.16135868832244765,0.3015844436442204,0.21023433283546497,27770,0.08580513277441458,0.6984155563557796
mitm,0.2578125,0.6346153846153846,0.36666666666666664,52,0.00017756777014132525,0.36538461538461536
password,0.3594280442804428,0.5726169130830957,0.4416408791557565,34021,0.0692941453542446,0.42738308691690424
ransomware,0.328740157480315,0.9823529411764705,0.4926253687315635,510,0.0019137628168792759,0.01764705882352941
scanning,0.05956857312487631,0.08312620822977078,0.06940281300438092,3621,0.008941776839443171,0.9168737917702292
xss,0.8801592905357698,0.7249722003805873,0.7950638575794841,214931,0.06627349060375849,0.27502779961941276

### Global Metrics
model_name,test_weighted_f1,test_accuracy,precision,recall,support,global_FPR,global_FNR,Time Consumption (s),CPU_Peak_MB,GPU_Peak_MB,cpu_mem_used,gpu_mem_used
e_gcn,82.07227198937123,0.7969756606280802,0.8577052128519346,0.7969756606280802,535059,0.022558259930213303,0.20302433937191974,1514.0104827881,16898.26171875,6307.875,10262.8984375,4984.0
