### Per-class Metrics
ATTACK TYPE,precision,recall,f1_score,support,FPR,FNR
Benign,0.9999374288252888,0.9534855970024582,0.9761592073837433,251406,5.288151368044759e-05,0.04651440299754182
backdoor,0.49292669483740587,0.9885777450257922,0.6578398921172,2714,0.005184607726192601,0.011422254974207811
ddos,0.024390243902439025,0.15,0.04195804195804196,20,0.0002242827158394061,0.85
dos,0.1411764705882353,0.8571428571428571,0.2424242424242424,14,0.00013643712211122428,0.14285714285714285
injection,0.17233018492382296,0.34296002880806625,0.2293944795028662,27770,0.09016950889926649,0.6570399711919337
mitm,0.2608695652173913,0.6923076923076923,0.3789473684210526,52,0.0001906517110991071,0.3076923076923077
password,0.36360283949479116,0.5796419858322801,0.44688179840464104,34021,0.06888699060749884,0.42035801416771995
ransomware,0.3713862120088955,0.9823529411764705,0.5389994620763852,510,0.0015863840358881973,0.01764705882352941
scanning,0.0967869892899643,0.33692350179508423,0.15037593984962405,3621,0.02142300701116593,0.6630764982049158
xss,0.891689947497712,0.6890536963025343,0.7773838050070994,214931,0.056193147740903636,0.3109463036974657

### Global Metrics
model_name,test_weighted_f1,test_accuracy,precision,recall,support,global_FPR,global_FNR,Time Consumption (s),CPU_Peak_MB,GPU_Peak_MB,cpu_mem_used,gpu_mem_used
e_graphsage_mean_no_sampling,81.61689224539137,0.7877822819539527,0.8636272410587579,0.7877822819539527,535059,0.023579746449560807,0.21221771804604725,1456.0283396244,17400.38671875,6255.875,9966.703125,4424.0
