### Per-class Metrics
ATTACK TYPE,precision,recall,f1_score,support,FPR,FNR
Benign,1.0,0.96734365926032,0.9834007949826324,251406,0.0,0.03265634073968004
backdoor,0.5877327491785324,0.9885777450257922,0.7371891743371344,2714,0.003535301355324085,0.011422254974207811
ddos,0.14814814814814814,1.0,0.25806451612903225,20,0.00021493760267943084,0.0
dos,0.0,0.0,0.0,14,0.0001308301170929548,1.0
injection,0.4927230852158573,0.3620813827871804,0.4174191004006061,27770,0.020406513841222655,0.6379186172128196
mitm,0.05054151624548736,0.5384615384615384,0.09240924092409242,52,0.0009831647062561798,0.46153846153846156
password,0.37894699412099375,0.9397430998500926,0.540100853964473,34021,0.1045768983590067,0.06025690014990741
ransomware,0.34106412005457026,0.9803921568627451,0.5060728744939271,510,0.0018071308710707532,0.0196078431372549
scanning,0.12108343854011247,0.2913559790113228,0.17107183395492134,3621,0.014409959393193561,0.7086440209886772
xss,0.938980680129382,0.7496126663906091,0.8336782953357688,214931,0.03270566773290684,0.2503873336093909

### Global Metrics
model_name,test_weighted_f1,test_accuracy,precision,recall,support,global_FPR,global_FNR,Time Consumption (s),CPU_Peak_MB,GPU_Peak_MB,cpu_mem_used,gpu_mem_used
e_graphsage_sum_no_sampling,85.83556501167352,0.8421931039380703,0.9008543281387337,0.8421931039380703,535059,0.017534099562436626,0.15780689606192963,1397.3262476921,17473.55078125,6257.875,9689.49609375,4568.0
