### Per-class Metrics
ATTACK TYPE,precision,recall,f1_score,support,FPR,FNR
Benign,0.9999497220045837,0.9507118557645577,0.9747093670296728,251034,4.2249801954053344e-05,0.04928814423544221
backdoor,0.48850371418464805,0.990674318507891,0.654347311063729,2788,0.0054333224992532,0.009325681492109038
ddos,0.14,0.35,0.2,20,8.036797317578719e-05,0.65
dos,0.20833333333333334,0.5555555555555556,0.30303030303030304,18,7.102259453013881e-05,0.4444444444444444
injection,0.20777935654115498,0.2954504455749179,0.24397801248342746,27717,0.0615423126805981,0.704549554425082
mitm,0.20168067226890757,0.5581395348837209,0.2962962962962963,43,0.00017756478310929018,0.4418604651162791
password,0.3535902140672783,0.4281989749059343,0.3873345125154098,33753,0.05270633106326276,0.5718010250940657
ransomware,0.3705357142857143,0.9841897233201581,0.5383783783783784,506,0.001582630721369069,0.015810276679841896
scanning,0.08844488844488844,0.36584022038567493,0.14245105926521856,3630,0.025755086756650464,0.634159779614325
xss,0.8666883307800628,0.7795128740431454,0.8207923911689491,215550,0.08088974019511187,0.22048712595685455

### Global Metrics
model_name,test_weighted_f1,test_accuracy,precision,recall,support,global_FPR,global_FNR,Time Consumption (s),CPU_Peak_MB,GPU_Peak_MB,cpu_mem_used,gpu_mem_used
e_gat_no_sampling,82.99627964885421,0.8110432681255711,0.8548879951080965,0.8110432681255711,535059,0.02099519243049209,0.1889567318744288,1741.449873209,17528.1484375,9819.875,9534.30078125,8130.0
