### Per-class Metrics
ATTACK TYPE,precision,recall,f1_score,support,FPR,FNR
Benign,0.9900296775484344,0.9461666547160942,0.9676013247892843,251034,0.008421793856174633,0.053833345283905765
backdoor,0.4708489601091033,0.990674318507891,0.638317541021493,2788,0.005831615849820862,0.009325681492109038
ddos,0.0125,0.05,0.020000000000000004,20,0.00014765278792760902,0.95
dos,0.2125,0.9444444444444444,0.3469387755102041,18,0.00011774798566838802,0.05555555555555555
injection,0.11720994748835827,0.1280441606234441,0.12238775087937098,27717,0.052686353583972945,0.8719558393765559
mitm,0.1791044776119403,0.5581395348837209,0.2711864406779661,43,0.00020560132781075705,0.4418604651162791
password,0.34107593651162116,0.6965010517583622,0.45791252349555417,33753,0.09059735969647281,0.30349894824163776
ransomware,0.14405311778290994,0.9861660079051383,0.25138539042821156,506,0.005546690412363227,0.01383399209486166
scanning,0.08268330733229329,0.3650137741046832,0.13482574408547443,3630,0.02766126801510644,0.6349862258953168
xss,0.8693839441433294,0.6868475991649269,0.7674105789142215,215550,0.06961619234512956,0.31315240083507306

### Global Metrics
model_name,test_weighted_f1,test_accuracy,precision,recall,support,global_FPR,global_FNR,Time Consumption (s),CPU_Peak_MB,GPU_Peak_MB,cpu_mem_used,gpu_mem_used
e_gat_sampling,80.2862633142599,0.779831756871672,0.8454869427669394,0.779831756871672,535059,0.024463138125369766,0.22016824312832792,1353.9024577141,17468.68359375,6261.875,9612.56640625,4572.0
