### Per-class Metrics
ATTACK TYPE,precision,recall,f1_score,support,FPR,FNR
Benign,0.9999456126111804,0.952114056263295,0.9754438232053217,251034,4.577061878355778e-05,0.04788594373670499
backdoor,0.502638762511374,0.990674318507891,0.6669081250754558,2788,0.005134602486327453,0.009325681492109038
ddos,0.0,0.0,0.0,20,5.793970159184658e-05,1.0
dos,0.2361111111111111,0.9444444444444444,0.37777777777777777,18,0.00010279586050414828,0.05555555555555555
injection,0.16256227006284216,0.3331890175704441,0.21851264699619052,27717,0.09377106567167709,0.6668109824295558
mitm,0.20869565217391303,0.5581395348837209,0.3037974683544304,43,0.00017008837118889902,0.4418604651162791
password,0.3523487752582678,0.32133439990519364,0.33612768265282406,33753,0.039768125655787086,0.6786656000948064
ransomware,0.4519056261343013,0.9841897233201581,0.6194029850746269,506,0.001129916023294229,0.015810276679841896
scanning,0.057602022390754785,0.08787878787878788,0.06958987783595114,3630,0.009820691004819082,0.9121212121212121
xss,0.8629499869957009,0.7850382741823243,0.8221524199602079,215550,0.08411030675192248,0.21496172581767573

### Global Metrics
model_name,test_weighted_f1,test_accuracy,precision,recall,support,global_FPR,global_FNR,Time Consumption (s),CPU_Peak_MB,GPU_Peak_MB,cpu_mem_used,gpu_mem_used
e_gcn,82.59492576653483,0.8072549008614003,0.8508970480541587,0.8072549008614003,535059,0.021416122126511075,0.19274509913859966,1431.372107029,16731.8515625,6307.875,11353.4296875,4984.0
