### Per-class Metrics
ATTACK TYPE,precision,recall,f1_score,support,FPR,FNR
Benign,0.9999498199791753,0.9525681780157269,0.9756840952072023,251034,4.2249801954053344e-05,0.047431821984273044
backdoor,0.5000905305087815,0.990674318507891,0.6646612922632655,2788,0.0051872072684779,0.009325681492109038
ddos,0.0,0.0,0.0,20,5.9808724223841624e-05,1.0
dos,0.2328767123287671,0.9444444444444444,0.3736263736263736,18,0.00010466487614967825,0.05555555555555555
injection,0.1791791372778836,0.30887181152361365,0.2267934725018544,27717,0.07730091338781335,0.6911281884763864
mitm,0.19642857142857142,0.5116279069767442,0.2838709677419355,43,0.00016821926820880122,0.4883720930232558
password,0.3528750562022281,0.4185405741711848,0.38291297925108764,33753,0.05167901441434972,0.5814594258288153
ransomware,0.41089108910891087,0.9841897233201581,0.579743888242142,506,0.0013356954315100653,0.015810276679841896
scanning,0.06820049301561217,0.09146005509641873,0.07813603200753119,3630,0.008535476987518558,0.9085399449035813
xss,0.8637658123054507,0.7865738807701229,0.8233645835609719,215550,0.0836940430473007,0.21342611922987706

### Global Metrics
model_name,test_weighted_f1,test_accuracy,precision,recall,support,global_FPR,global_FNR,Time Consumption (s),CPU_Peak_MB,GPU_Peak_MB,cpu_mem_used,gpu_mem_used
e_graphsage_mean_no_sampling,82.99376428050257,0.8129795031949748,0.8521404053762385,0.8129795031949748,535059,0.02078005520055836,0.18702049680502525,1404.6853277683,17261.9765625,6255.875,10033.84765625,4424.0
