### Per-class Metrics
ATTACK TYPE,precision,recall,f1_score,support,FPR,FNR
Benign,0.9999172236823045,0.962399515603464,0.9807997174458895,251034,7.04163365900889e-05,0.037600484396535926
backdoor,0.6569186875891584,0.9910329985652798,0.7901058049756936,2788,0.0027110250229676236,0.008967001434720229
ddos,0.08888888888888889,0.2,0.12307692307692307,20,7.662992791179708e-05,0.8
dos,0.125,0.9444444444444444,0.22077922077922077,18,0.00022241286181806628,0.05555555555555555
injection,0.1709066632576242,0.43410181477071835,0.2452557125094274,27717,0.11504862597616598,0.5658981852292817
mitm,0.16494845360824742,0.37209302325581395,0.2285714285714286,43,0.0001513973413879211,0.627906976744186
password,0.31897808048062337,0.31774953337481116,0.3183626217050582,33753,0.04567669247924421,0.6822504666251888
ransomware,0.39553429027113235,0.9802371541501976,0.5636363636363636,506,0.0014180071947964,0.019762845849802372
scanning,0.03989844033369604,0.09090909090909091,0.05545752457776657,3630,0.014942729884895254,0.9090909090909091
xss,0.882675544863207,0.718306657388077,0.792053427323953,215550,0.06441133113621213,0.28169334261192297

### Global Metrics
model_name,test_weighted_f1,test_accuracy,precision,recall,support,global_FPR,global_FNR,Time Consumption (s),CPU_Peak_MB,GPU_Peak_MB,cpu_mem_used,gpu_mem_used
e_graphsage_mean,81.70878886578448,0.7902100516017859,0.8577839130127182,0.7902100516017859,535059,0.023309994266468227,0.20978994839821402,1365.7659063339,17920.43359375,6257.875,10247.4375,4568.0
