### Per-class Metrics
ATTACK TYPE,precision,recall,f1_score,support,FPR,FNR
Benign,0.9999958771387343,0.9661997976369735,0.9828073843560571,251034,3.520816829504445e-06,0.03380020236302652
backdoor,0.7298865734634661,0.992467718794835,0.8411612707098343,2788,0.0019238320329305937,0.007532281205164993
ddos,0.17094017094017094,1.0,0.291970802919708,20,0.00018129519530351993,0.0
dos,0.0,0.0,0.0,18,7.102259453013881e-05,1.0
injection,0.4749054785380681,0.2311216942670563,0.31092559336019027,27717,0.013960996724103267,0.7688783057329437
mitm,0.022821576763485476,0.2558139534883721,0.0419047619047619,43,0.0008803475036260598,0.7441860465116279
password,0.38227557511119614,0.7104257399342281,0.4970771144278607,33753,0.07729410779045134,0.2895742600657719
ransomware,0.2062111801242236,0.9841897233201581,0.3409791167408422,506,0.0035861738686341674,0.015810276679841896
scanning,0.12025028441410694,0.2911845730027548,0.17020933977455716,3630,0.01455133235107606,0.7088154269972452
xss,0.869984052626333,0.809886337276734,0.838860190769083,215550,0.08165341195396687,0.19011366272326607

### Global Metrics
model_name,test_weighted_f1,test_accuracy,precision,recall,support,global_FPR,global_FNR,Time Consumption (s),CPU_Peak_MB,GPU_Peak_MB,cpu_mem_used,gpu_mem_used
e_graphsage_sum_no_sampling,85.2379542889988,0.8445012606086432,0.8731824069648783,0.8445012606086432,535059,0.01727763771015076,0.15549873939135683,1432.9603276253,17381.39453125,6257.875,9485.17578125,4568.0
