### Per-class Metrics
ATTACK TYPE,precision,recall,f1_score,support,FPR,FNR
Benign,0.9999958837573063,0.967753372053188,0.9836104734257268,251034,3.520816829504445e-06,0.03224662794681198
backdoor,0.48474219572079974,0.9913916786226685,0.6511189634864547,2788,0.005519744641357504,0.00860832137733142
ddos,0.0,0.0,0.0,20,5.4201656327856475e-05,1.0
dos,0.2982456140350877,0.9444444444444444,0.45333333333333325,18,7.476062582119875e-05,0.05555555555555555
injection,0.2629709099862816,0.26972616083991774,0.26630570298863676,27717,0.04129955730059802,0.7302738391600823
mitm,0.48,0.5581395348837209,0.5161290322580644,43,4.859667748254258e-05,0.4418604651162791
password,0.38448763409488756,0.7613545462625544,0.5109454220101401,33753,0.0820636497468612,0.23864545373744556
ransomware,0.4760076775431862,0.9802371541501976,0.6408268733850129,506,0.001021414153507697,0.019762845849802372
scanning,0.11805033023994649,0.38898071625344355,0.1811301391828619,3630,0.019850252808935907,0.6110192837465565
xss,0.9179381165314698,0.7580793319415449,0.8303850473368872,215550,0.04572015185800713,0.2419206680584551

### Global Metrics
model_name,test_weighted_f1,test_accuracy,precision,recall,support,global_FPR,global_FNR,Time Consumption (s),CPU_Peak_MB,GPU_Peak_MB,cpu_mem_used,gpu_mem_used
e_graphsage_sum,84.7315414860825,0.8302448888814131,0.8806650402544666,0.8302448888814131,535059,0.018861679013176324,0.16975511111858693,1281.0464625359,17396.58203125,6257.875,9671.3359375,4568.0
